company,type_of_server,nature_of_breach,vertical,raw_record_number,severity
Cloud_Entity_25,Alibaba Cloud,Alibaba Cloud OSS with no data encryption.,Encryption,Unknown,MEDIUM
Cloud_Entity_26,Alibaba Cloud,Alibaba Cloud OSS with misconfigured bucket notification exposing data.,Data Exfiltration,Unknown,MEDIUM
Cloud_Entity_27,IBM Cloud,IBM Cloud VPC with misconfigured endpoint gateway allowing unauthorized access.,Access Control,Unknown,MEDIUM
Cloud_Entity_28,IBM Cloud,IBM Cloud Databases with misconfigured backup policy allowing data loss.,Data Protection,2 million records,CRITICAL
Cloud_Entity_29,GCP,GCP Cloud Storage with misconfigured bucket ACL allowing data tampering.,Data Exposure,1.2 million records,CRITICAL
Cloud_Entity_30,AWS,AWS Lambda with misconfigured VPC endpoint allowing traffic interception.,Network Security,Unknown,MEDIUM
Cloud_Entity_31,Oracle Cloud,Oracle Cloud Load Balancer with misconfigured backend set allowing unauthorized access.,Access Control,2 million records,CRITICAL
Cloud_Entity_32,GCP,GCP Cloud Run with misconfigured environment variable exposing secrets.,Data Exposure,2 million records,CRITICAL
Cloud_Entity_33,Oracle Cloud,Oracle Cloud Identity with misconfigured MFA policy allowing weak authentication.,Authentication,"500,000 records",HIGH
Cloud_Entity_34,GCP,GCP Cloud VPN with misconfigured routing allowing traffic interception.,Network Security,10.5 million records,CRITICAL
Cloud_Entity_35,AWS,AWS API Gateway with misconfigured logging exposing sensitive data.,Data Exposure,"500,000 records",HIGH
Cloud_Entity_36,Oracle Cloud,Oracle Cloud Identity with misconfigured MFA policy allowing bypass.,Authentication,Unknown,MEDIUM
Cloud_Entity_37,GCP,GCP Cloud Functions with outdated runtime.,Patch Management,"500,000 records",HIGH
Cloud_Entity_38,Oracle Cloud,Oracle Cloud Load Balancer with misconfigured backend set allowing DoS attacks.,Denial of Service,Unknown,MEDIUM
Cloud_Entity_39,IBM Cloud,IBM Cloud Databases with misconfigured connection string exposing credentials.,Data Exposure,10.5 million records,CRITICAL
Cloud_Entity_40,Alibaba Cloud,Alibaba Cloud ECS with misconfigured instance metadata exposing sensitive data.,Data Exposure,2 million records,CRITICAL
Cloud_Entity_41,Oracle Cloud,Oracle Cloud Load Balancer with no WAF.,Security Policy,10.5 million records,CRITICAL
Cloud_Entity_42,GCP,GCP Cloud Functions with misconfigured IAM role allowing privilege escalation.,Privilege Escalation,1.2 million records,CRITICAL
Cloud_Entity_43,Azure,Azure Data Lake with misconfigured access control allowing privilege escalation.,Privilege Escalation,1.2 million records,CRITICAL
Cloud_Entity_44,GCP,GCP Cloud Armor with misconfigured SQL injection protection allowing attacks.,Injection,2 million records,CRITICAL
Cloud_Entity_45,AWS,AWS SQS with misconfigured dead-letter queue exposing sensitive messages.,Data Exposure,"25,000 records",HIGH
Cloud_Entity_46,AWS,AWS Redshift with misconfigured snapshot sharing allowing data leakage.,Data Exposure,"25,000 records",HIGH
Cloud_Entity_47,Azure,Azure Virtual Machine with exposed management ports.,Network Security,Unknown,MEDIUM
Cloud_Entity_48,Oracle Cloud,Oracle Cloud Load Balancer with no SSL.,Encryption,2 million records,CRITICAL
Cloud_Entity_49,Azure,Azure Redis Cache with no firewall rules.,Network Security,1.2 million records,CRITICAL
Cloud_Entity_50,Azure,Azure Machine Learning with misconfigured pipeline allowing code injection.,Code Injection,Unknown,MEDIUM
Cloud_Entity_51,Alibaba Cloud,Alibaba Cloud ECS with misconfigured instance type causing DoS attacks.,Denial of Service,Unknown,MEDIUM
Cloud_Entity_52,Azure,Azure Cognitive Services with misconfigured API key rotation exposing keys.,Data Exposure,2 million records,CRITICAL
Cloud_Entity_53,Alibaba Cloud,Alibaba Cloud VPC with no flow log.,Monitoring,"500,000 records",HIGH
Cloud_Entity_54,Oracle Cloud,Oracle Cloud Database with misconfigured TDE exposing data.,Encryption,"25,000 records",HIGH
Cloud_Entity_55,GCP,GCP Cloud Build with misconfigured build trigger allowing unauthorized builds.,Access Control,10.5 million records,CRITICAL
Cloud_Entity_56,IBM Cloud,IBM Cloud Databases with misconfigured audit logging exposing sensitive data.,Data Exposure,2 million records,CRITICAL
Cloud_Entity_57,AWS,AWS SNS with misconfigured topic subscription allowing data exfiltration.,Data Exfiltration,Unknown,MEDIUM
Cloud_Entity_58,Azure,Azure Function with misconfigured trigger binding allowing code injection.,Code Injection,2 million records,CRITICAL
Cloud_Entity_59,Alibaba Cloud,Alibaba Cloud OSS with misconfigured versioning allowing data tampering.,Data Protection,2 million records,CRITICAL
Cloud_Entity_60,Oracle Cloud,Oracle Cloud VCN with misconfigured route table enabling lateral movement.,Network Security,Unknown,MEDIUM
Cloud_Entity_61,Oracle Cloud,Oracle Cloud VCN with no network security group.,Network Security,10.5 million records,CRITICAL
Cloud_Entity_62,IBM Cloud,IBM Cloud Functions with no memory limits.,Resource Control,1.2 million records,CRITICAL
Cloud_Entity_63,AWS,AWS ElastiCache with no AUTH token.,Authentication,1.2 million records,CRITICAL
Cloud_Entity_64,IBM Cloud,IBM Cloud VPC with no endpoint gateway restrictions.,Network Security,Unknown,MEDIUM
Cloud_Entity_65,IBM Cloud,IBM Cloud Functions with misconfigured environment variable exposing secrets.,Data Exposure,"500,000 records",HIGH
Cloud_Entity_66,Azure,Azure SQL Database with no encryption at rest.,Encryption,2 million records,CRITICAL
Cloud_Entity_67,GCP,GCP Cloud Monitoring with misconfigured notification channel allowing data leakage.,Data Exposure,2 million records,CRITICAL
Cloud_Entity_68,Azure,Azure Stream Analytics with misconfigured job allowing code injection.,Code Injection,"25,000 records",HIGH
Cloud_Entity_69,AWS,AWS Lambda with misconfigured environment variable allowing code injection.,Code Injection,2 million records,CRITICAL
Cloud_Entity_70,Azure,Azure API Management with misconfigured backend allowing request forgery.,Server-Side Request Forgery,2 million records,CRITICAL
Cloud_Entity_71,Azure,Azure Event Hub with no partition key encryption.,Encryption,1.2 million records,CRITICAL
Cloud_Entity_72,Azure,Azure Kubernetes with misconfigured pod security policy allowing privilege escalation.,Privilege Escalation,"500,000 records",HIGH
Cloud_Entity_73,IBM Cloud,IBM Cloud IAM with overly broad service access.,IAM Misconfiguration,Unknown,MEDIUM
Cloud_Entity_74,IBM Cloud,IBM Cloud Activity Tracker disabled.,Monitoring,"25,000 records",HIGH
Cloud_Entity_75,AWS,AWS SNS with misconfigured topic policy allowing unauthorized subscriptions.,Access Control,2 million records,CRITICAL
Cloud_Entity_76,GCP,GCP Cloud Armor with no rate limiting.,API Security,1.2 million records,CRITICAL
Cloud_Entity_77,AWS,AWS KMS key with public access policy.,Access Control,Unknown,MEDIUM
Cloud_Entity_78,AWS,AWS Redshift with misconfigured snapshot policy exposing data.,Data Exposure,1.2 million records,CRITICAL
Cloud_Entity_79,GCP,GCP Cloud Armor with misconfigured rate limiting allowing DoS attacks.,Denial of Service,2 million records,CRITICAL
Cloud_Entity_80,Oracle Cloud,Oracle Cloud API Gateway with misconfigured authentication allowing unauthorized access.,Authentication,"25,000 records",HIGH
Cloud_Entity_81,AWS,AWS S3 bucket with no access logging.,Monitoring,10.5 million records,CRITICAL
Cloud_Entity_82,GCP,GCP Cloud Composer with misconfigured environment variable allowing code injection.,Code Injection,10.5 million records,CRITICAL
Cloud_Entity_83,Oracle Cloud,Oracle Cloud Compute with no boot volume encryption.,Encryption,Unknown,MEDIUM
Cloud_Entity_84,AWS,AWS S3 bucket with misconfigured bucket logging exposing access patterns.,Data Exposure,2 million records,CRITICAL
Cloud_Entity_85,AWS,AWS CloudTrail with misconfigured log validation allowing log tampering.,Monitoring,2 million records,CRITICAL
Cloud_Entity_86,AWS,AWS SNS with misconfigured delivery policy exposing messages.,Data Exposure,"500,000 records",HIGH
Cloud_Entity_87,IBM Cloud,IBM Cloud Databases with no connection pooling.,Resource Control,10.5 million records,CRITICAL
Cloud_Entity_88,IBM Cloud,IBM Cloud VPC with misconfigured VPN gateway allowing weak encryption.,Encryption,10.5 million records,CRITICAL
Cloud_Entity_89,Oracle Cloud,Oracle Cloud Database with misconfigured network security group allowing unauthorized access.,Access Control,10.5 million records,CRITICAL
Cloud_Entity_90,Azure,Azure Cosmos DB with misconfigured firewall allowing unauthorized access.,Access Control,2 million records,CRITICAL
Cloud_Entity_91,Azure,Azure Cognitive Services with misconfigured endpoint allowing data exfiltration.,Data Exfiltration,Unknown,MEDIUM
Cloud_Entity_92,GCP,GCP Cloud SQL with no point-in-time recovery.,Data Protection,Unknown,MEDIUM
Cloud_Entity_93,Oracle Cloud,Oracle Cloud Identity with misconfigured API key allowing unauthorized access.,Authentication,"500,000 records",HIGH
Cloud_Entity_94,Azure,Azure SQL Database with misconfigured firewall rule allowing unauthorized access.,Access Control,1.2 million records,CRITICAL
Cloud_Entity_95,IBM Cloud,IBM Cloud VPC with misconfigured flow logs exposing network traffic.,Data Exposure,"25,000 records",HIGH
Cloud_Entity_96,IBM Cloud,IBM Cloud Kubernetes with misconfigured readiness probe allowing resource exhaustion.,Denial of Service,1.2 million records,CRITICAL
Cloud_Entity_97,Oracle Cloud,Oracle Cloud VCN with misconfigured service gateway allowing data exfiltration.,Data Exfiltration,1.2 million records,CRITICAL
Cloud_Entity_98,GCP,GCP Cloud Run with no request timeout.,Resource Control,2 million records,CRITICAL
Cloud_Entity_99,Azure,Azure Key Vault with no purge protection.,Data Protection,10.5 million records,CRITICAL
Cloud_Entity_100,IBM Cloud,IBM Cloud VPC with misconfigured floating IP allowing unauthorized access.,Access Control,Unknown,MEDIUM
Cloud_Entity_101,AWS,AWS EC2 instance with no IMDSv2 enforcement.,Security Policy,"25,000 records",HIGH
Cloud_Entity_102,Alibaba Cloud,Alibaba Cloud ECS with misconfigured instance role allowing privilege escalation.,Privilege Escalation,1.2 million records,CRITICAL
Cloud_Entity_103,Azure,Azure Stream Analytics with no encryption.,Encryption,"25,000 records",HIGH
Cloud_Entity_104,Oracle Cloud,Oracle Cloud Load Balancer with misconfigured routing policy allowing unauthorized access.,Access Control,Unknown,MEDIUM
Cloud_Entity_105,Oracle Cloud,Oracle Cloud Functions with misconfigured environment variables exposing secrets.,Data Exposure,1.2 million records,CRITICAL
Cloud_Entity_106,Azure,Azure Function with misconfigured CORS policy allowing data exfiltration.,Data Exfiltration,1.2 million records,CRITICAL
Cloud_Entity_107,GCP,GCP Cloud Functions with misconfigured environment variable exposing secrets.,Data Exposure,10.5 million records,CRITICAL
Cloud_Entity_108,AWS,AWS S3 bucket with misconfigured notification policy allowing unauthorized actions.,Access Control,1.2 million records,CRITICAL
Cloud_Entity_109,AWS,AWS CloudFormation with misconfigured template exposing sensitive parameters.,Data Exposure,Unknown,MEDIUM
Cloud_Entity_110,Alibaba Cloud,Alibaba Cloud ECS with misconfigured snapshot export allowing data leakage.,Data Exposure,1.2 million records,CRITICAL
Cloud_Entity_111,Alibaba Cloud,Alibaba Cloud ECS with misconfigured snapshot policy allowing data exposure.,Data Exposure,10.5 million records,CRITICAL
Cloud_Entity_112,IBM Cloud,IBM Cloud Kubernetes with no image security scanning.,Security Policy,10.5 million records,CRITICAL
Cloud_Entity_113,Azure,Azure Kubernetes with misconfigured pod security context allowing privilege escalation.,Privilege Escalation,1.2 million records,CRITICAL
Cloud_Entity_114,Oracle Cloud,Oracle Cloud Load Balancer with misconfigured rate limiting allowing DoS attacks.,Denial of Service,"25,000 records",HIGH
Cloud_Entity_115,Azure,Azure Machine Learning with misconfigured pipeline allowing code injection.,Code Injection,"500,000 records",HIGH
Cloud_Entity_116,GCP,GCP Cloud DNS with no logging enabled.,Monitoring,10.5 million records,CRITICAL
Cloud_Entity_117,AWS,AWS Lambda with no dead-letter queue.,Monitoring,"25,000 records",HIGH
Cloud_Entity_118,Oracle Cloud,Oracle Cloud VCN with misconfigured route table allowing traffic interception.,Network Security,1.2 million records,CRITICAL
Cloud_Entity_119,IBM Cloud,IBM Cloud Security Group with no egress rules.,Network Security,"500,000 records",HIGH
Cloud_Entity_120,Oracle Cloud,Oracle Cloud Object Storage with misconfigured versioning exposing deleted objects.,Data Exposure,2 million records,CRITICAL
Cloud_Entity_121,Oracle Cloud,Oracle Cloud Compute with misconfigured security list allowing unauthorized access.,Access Control,1.2 million records,CRITICAL
Cloud_Entity_122,Oracle Cloud,Oracle Cloud Compute with misconfigured VNIC attachment allowing traffic interception.,Network Security,"500,000 records",HIGH
Cloud_Entity_123,Oracle Cloud,Oracle Cloud Identity with misconfigured group membership allowing privilege escalation.,Privilege Escalation,10.5 million records,CRITICAL
Cloud_Entity_124,Azure,Azure Cosmos DB with misconfigured role-based access control allowing privilege escalation.,Privilege Escalation,10.5 million records,CRITICAL
